Rang;Reseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
6;Metro;BIBLIOTHEQUE;11104474;14;;;;;Paris;13
10;Metro;CHATELET;8350794;1;4;7;11;14;Paris;1
15;Metro;BOBIGNY-PABLO PICASSO;6561327;5;;;;;Bobigny;
17;Metro;GARE D'AUSTERLITZ;6318543;5;10;;;;Paris;13
21;Metro;HAVRE-CAUMARTIN;5894982;3;9;;;;Paris;9
23;Metro;AUBERVILLIERS-PANTIN-QUATRE CHEMINS;5616435;7;;;;;Aubervilliers;
28;Metro;TROCADERO;5284134;6;9;;;;Paris;16
31;Metro;OLYMPIADES;5214595;14;;;;;Paris;13
36;Metro;STALINGRAD;4924583;2;5;7;;;Paris;19
37;Metro;LA COURNEUVE-8 MAI 1945;4924444;7;;;;;La Courneuve;
41;Metro;PONT DE NEUILLY;4809503;1;;;;;Neuilly Sur Seine;
42;Metro;GAMBETTA;4796724;3;3bis;;;;Paris;20
43;Metro;ESPLANADE DE LA DEFENSE;4708183;1;;;;;Puteaux;
46;Metro;SAINT-PAUL;4295823;1;;;;;Paris;4
47;Metro;CHARLES DE GAULLE-ETOILE;4291663;1;2;6;;;Paris;8
57;Metro;LES SABLONS;3954920;1;;;;;Neuilly Sur Seine;
64;Metro;GABRIEL PERI;3790573;13;;;;;Asnieres;
65;Metro;SAINT-MICHEL;3747385;4;;;;;Paris;5
68;Metro;CROIX DE CHAVAUX;3729545;9;;;;;Montreuil;
69;Metro;MIROMESNIL;3647255;9;13;;;;Paris;8
75;Metro;CRIMEE;3543952;7;;;;;Paris;19
79;Metro;INVALIDES;3482080;8;13;;;;Paris;7
81;Metro;PERE LACHAISE;3465307;2;3;;;;Paris;20
82;Metro;VOLTAIRE;3454006;9;;;;;Paris;11
91;Metro;SAINT-DENIS-PORTE DE PARIS;3355836;13;;;;;Saint Denis;
93;Metro;PORTE DE VERSAILLES;3268157;12;;;;;Paris;15
109;Metro;ROBESPIERRE;2986308;9;;;;;Montreuil;
130;Metro;DUROC;2645064;10;13;;;;Paris;7
136;Metro;VAUGIRARD;2482886;12;;;;;Paris;15
138;Metro;RUE DE LA POMPE;2449458;9;;;;;Paris;16
139;Metro;MARX DORMOY;2425928;12;;;;;Paris;18
142;Metro;SAINT-GERMAIN DES PRES;2378860;4;;;;;Paris;6
144;Metro;BOBIGNY-PANTIN-RAYMOND QUENEAU;2335465;5;;;;;Pantin;
152;Metro;BOUCICAUT;2288055;8;;;;;Paris;15
166;Metro;COURONNES;2151515;2;;;;;Paris;11
168;Metro;CRETEIL-POINTE DU LAC;2114438;8;;;;;Creteil;
177;Metro;PORTE DAUPHINE;2021656;2;;;;;Paris;16
178;Metro;SAINT-MAUR;2004445;3;;;;;Paris;11
183;Metro;FRONT POPULAIRE;1948542;12;;;;;Saint Denis / Aubervilliers;
193;Metro;PORTE DE LA CHAPELLE;1866281;12;;;;;Paris;18
196;Metro;PLACE MONGE;1837996;7;;;;;Paris;6
197;Metro;RUE DES BOULETS;1832442;9;;;;;Paris;11
201;Metro;JACQUES BONSERGENT;1743989;5;;;;;Paris;10
203;Metro;VOLONTAIRES;1734848;12;;;;;Paris;15
205;Metro;BOURSE;1725043;3;;;;;Paris;2
209;Metro;CORENTIN CARIOU;1697076;7;;;;;Paris;19
210;Metro;LOURMEL;1696432;8;;;;;Paris;15
211;Metro;ROME;1696331;2;;;;;Paris;17
212;Metro;LE PELETIER;1677832;7;;;;;Paris;9
216;Metro;GAITE;1644148;13;;;;;Paris;14
217;Metro;TELEGRAPHE;1636898;11;;;;;Paris;20
225;Metro;SAINT-SULPICE;1571987;4;;;;;Paris;6
227;Metro;LOUIS BLANC;1548029;7;7bis;;;;Paris;10
229;Metro;BROCHANT;1543298;13;;;;;Paris;17
235;Metro;WAGRAM;1508617;3;;;;;Paris;17
244;Metro;JASMIN;1418238;9;;;;;Paris;16
255;Metro;SOLFERINO;1269143;12;;;;;Paris;7
261;Metro;SAINT-FRANCOIS-XAVIER;1213378;13;;;;;Paris;7
265;Metro;QUATRE-SEPTEMBRE;1165004;3;;;;;Paris;2
269;Metro;LIEGE;1143956;13;;;;;Paris;8
274;Metro;MONTGALLET;1108395;8;;;;;Paris;12
281;Metro;AVENUE EMILE ZOLA;1041233;10;;;;;Paris;15
285;Metro;MIRABEAU;1001302;10;;;;;Paris;16
295;Metro;FALGUIERE;650291;12;;;;;Paris;15
297;Metro;CHARDON-LAGACHE;482053;10;;;;;Paris;16
6;RER;VAL DE FONTENAY;10096433;A;;;;;Fontenay-sous-Bois;
9;RER;VINCENNES;5523693;A;;;;;Vincennes;
19;RER;VAL D'EUROPE;3576573;A;;;;;Serris;
21;RER;SAINT-GERMAIN-EN-LAYE;3337962;A;;;;;Saint-Germain-en-Laye;
28;RER;CHAMPIGNY;2833616;A;;;;;Saint-Maur des Fosses;
32;RER;LAPLACE;2414948;B;;;;;Arcueil;
37;RER;NOISIEL;2273213;A;;;;;Noisiel;
41;RER;BRY-SUR-MARNE;1925748;A;;;;;Bry-sur-Marne;
42;RER;ORSAY-VILLE;1776712;B;;;;;Orsay;
48;RER;LA VARENNE-CHENNEVIERES;1552324;A;;;;;saint-Maur des Fosses;
49;RER;GENTILLY;1521999;B;;;;;Gentilly;
50;RER;LE VESINET-LE PECQ;1436318;A;;;;;Le Vesinet;
62;RER;GIF-SUR-YVETTE;442255;B;;;;;Gif sur Yvette;
64;RER;MASSY-VERRIERES;394292;B;;;;;Massy;
3;Metro;GARE DE LYON;28640475;1;14;A;;;Paris;12
12;Metro;BELLEVILLE;7314438;2;11;;;;Paris;10
32;Metro;OPERA;5193831;3;7;8;;;Paris;9
58;Metro;SAINT-MANDE-TOURELLE;3944640;1;;;;;Saint Mande;
59;Metro;HOCHE;3928404;5;;;;;Pantin;
61;Metro;BERCY;3884212;6;14;;;;Paris;12
70;Metro;DAUMESNIL;3634023;6;8;;;;Paris;12
74;Metro;SAINT-DENIS-UNIVERSITE;3569990;13;;;;;Saint Denis;
95;Metro;BALARD;3236801;8;;;;;Paris;15
97;Metro;PEREIRE;3130190;3;;;;;Paris;17
102;Metro;CHARLES MICHELS;3079569;10;;;;;Paris;15
104;Metro;COLONEL FABIEN;3043606;2;;;;;Paris;10
107;Metro;GLACIERE;3005750;6;;;;;Paris;13
108;Metro;RICHELIEU-DROUOT;2994510;8;9;;;;Paris;9
118;Metro;MENILMONTANT;2847264;2;;;;;Paris;11
122;Metro;LES COURTILLES;2802689;13;;;;;Asnieres sur Seine;
125;Metro;PORTE DE SAINT-OUEN;2710638;13;;;;;Paris;17
146;Metro;PLACE DES FETES;2318764;7bis;11;;;;Paris;19
151;Metro;PYRENEES;2288587;11;;;;;Paris;20
7;Metro;REPUBLIQUE;11079708;3;5;8;9;11;Paris;11
159;Metro;GONCOURT;2199170;11;;;;;Paris;11
9;Metro;LA DEFENSE;9256802;1;;;;;Puteaux;
160;Metro;FAIDHERBE-CHALIGNY;2190416;8;;;;;Paris;12
13;Metro;HOTEL DE VILLE;7251729;1;11;;;;Paris;4
163;Metro;BLANCHE;2167570;2;;;;;Paris;9
30;Metro;VILLEJUIF-LOUIS ARAGON;5218070;7;;;;;Villejuif;
164;Metro;CHARENTON-ECOLES;2164023;8;;;;;Charenton;
40;Metro;PALAIS-ROYAL;4822599;1;7;;;;Paris;1
165;Metro;SAINT-AMBROISE;2158466;9;;;;;Paris;11
54;Metro;BASILIQUE DE SAINT-DENIS;3991395;13;;;;;Saint Denis;
167;Metro;RAMBUTEAU;2127291;11;;;;;Paris;3
76;Metro;PLAISANCE;3521753;13;;;;;Paris;14
176;Metro;DUPLEIX;2028963;6;;;;;Paris;15
80;Metro;ODEON;3478491;4;10;;;;Paris;6
192;Metro;LOUVRE;1869612;1;;;;;Paris;1
86;Metro;CONCORDE;3401219;1;8;12;;;Paris;8
195;Metro;CADET;1843984;7;;;;;Paris;9
92;Metro;CRETEIL-PREFECTURE;3330602;8;;;;;Creteil;
202;Metro;QUAI DE LA GARE;1735465;6;;;;;Paris;13
94;Metro;LAUMIERE;3258568;5;;;;;Paris;19
206;Metro;ETIENNE MARCEL;1705639;4;;;;;Paris;1
96;Metro;OBERKAMPF;3205110;5;9;;;;Paris;11
208;Metro;MAISONS-ALFORT-STADE;1702479;8;;;;;Maisons -Alfort;
99;Metro;FORT D'AUBERVILLIERS;3103518;7;;;;;Aubervilliers;
214;Metro;CRETEIL-L'ECHAT;1660120;8;;;;;Creteil;
100;Metro;ALESIA;3098136;4;;;;;Paris;14
215;Metro;IENA;1646925;9;;;;;Paris;16
101;Metro;PORTE DE BAGNOLET;3085790;3;;;;;Paris;20
218;Metro;CAMBRONNE;1636566;6;;;;;Paris;15
105;Metro;PASTEUR;3026286;6;12;;;;Paris;9
219;Metro;EXELMANS;1607223;9;;;;;Paris;16
113;Metro;MAIRIE DES LILAS;2894622;11;;;;;Les Lilas;
220;Metro;BEL AIR;1605573;6;;;;;Paris;12
116;Metro;OURCQ;2862337;5;;;;;Paris;19
226;Metro;CORVISART;1570331;6;;;;;Paris;13
121;Metro;ECOLE MILITAIRE;2805976;8;;;;;Paris;7
240;Metro;BUZENVAL;1448855;9;;;;;Paris;20
123;Metro;VICTOR HUGO;2801041;2;;;;;Paris;16
242;Metro;RUE DU BAC;1423364;12;;;;;Paris;7
126;Metro;PORTE DE LA VILLETTE;2706288;7;;;;;Paris;19
252;Metro;MAISONS-ALFORT-LES JUILLIOTTES;1297495;8;;;;;Maisons -Alfort;
128;Metro;BOULOGNE-JEAN JAURES;2700354;10;;;;;Boulogne Billancourt;
254;Metro;MAUBERT-MUTUALITE;1280387;10;;;;;Paris;5
131;Metro;LEDRU-ROLLIN;2570283;8;;;;;Paris;12
256;Metro;PHILIPPE AUGUSTE;1262653;2;;;;;Paris;11
137;Metro;ALEXANDRE DUMAS;2476608;2;;;;;Paris;11
258;Metro;SEVRES-LECOURBE;1257040;6;;;;;Paris;15
141;Metro;SAINT-PLACIDE;2391205;4;;;;;Paris;6
268;Metro;MONCEAU;1148677;2;;;;;Paris;17
145;Metro;LOUISE MICHEL;2319185;3;;;;;Levallois-Perret;
273;Metro;CARDINAL LEMOINE;1121854;10;;;;;Paris;5
150;Metro;CENSIER-DAUBENTON;2291843;7;;;;;Paris;6
288;Metro;RENNES;861334;12;;;;;Paris;6
155;Metro;MALAKOFF-PLATEAU DE VANVES;2242320;13;;;;;Malakoff;
292;Metro;VANEAU;725826;10;;;;;Paris;7
158;Metro;GUY MOQUET;2205313;13;;;;;Paris;17
293;Metro;KLEBER;724215;6;;;;;Paris;16
161;Metro;BOULOGNE-PONT DE SAINT-CLOUD;2182738;10;;;;;Boulogne Billancourt;
294;Metro;BOTZARIS;669323;7bis;;;;;Paris;19
172;Metro;ARGENTINE;2079212;1;;;;;Paris;17
301;Metro;BOLIVAR;367598;7bis;;;;;Paris;19
173;Metro;SIMPLON;2056501;4;;;;;Paris;18
1;Metro;GARE DU NORD;34503097;4;5;;;;Paris;10
305;Metro;EGLISE D'AUTEUIL;124941;10;;;;;Paris;16
185;Metro;SAINT-AUGUSTIN;1934106;9;;;;;Paris;8
2;Metro;SAINT-LAZARE;33128384;3;9;12;13;14;Paris;8
14;RER;NOISY-CHAMPS;4424587;A;;;;;Champs-sur-Marne;
186;Metro;PORTE DOREE;1918182;8;;;;;Paris;12
5;Metro;GARE DE L'EST;15538471;4;5;7;;;Paris;10
16;RER;RUEIL-MALMAISON;4247217;A;;;;;Rueil-Malmaison;
187;Metro;CHAMPS-ELYSEES-CLEMENCEAU;1909005;1;13;;;;Paris;8
11;Metro;BASTILLE;8069243;1;5;8;;;Paris;12
27;RER;NANTERRE-VILLE;2993230;A;;;;;Nanterre;
189;Metro;LES AGNETTES;1890356;13;;;;;Asnieres sur Seine;
18;Metro;FRANKLIN D. ROOSEVELT;6173830;1;9;;;;Paris;8
36;RER;PORT ROYAL;2327686;B;;;;;Paris;5
194;Metro;TUILERIES;1859552;1;;;;;Paris;1
19;Metro;MAIRIE DE MONTREUIL;6158487;9;;;;;Montreuil;
38;RER;BOISSY-SAINT-LEGER;2197101;A;;;;;Boissy-Saint-Leger;
198;Metro;LA FOURCHE;1829271;13;;;;;Paris;8
20;Metro;NATION;6050797;1;2;6;9;;Paris;12
52;RER;LE VESINET-CENTRE;974465;A;;;;;Le Vesinet;
233;Metro;ABBESSES;1513884;12;;;;;Paris;18
26;Metro;BARBES-ROCHECHOUART;5390939;2;4;;;;Paris;18
53;RER;FONTENAY-AUX-ROSES;888408;B;;;;;Fontenay aux roses;
241;Metro;MALESHERBES;1427143;3;;;;;Paris;17
35;Metro;CHATILLON-MONTROUGE;5034012;13;;;;;Chatillon;
56;RER;PALAISEAU-VILLEBON;591438;B;;;;;Palaiseau;
257;Metro;CLUNY LA SORBONNE;1261818;10;;;;;Paris;5
39;Metro;MAIRIE DE SAINT-OUEN;4830810;13;14;;;;Saint Ouen;
63;RER;COURCELLE-SUR-YVETTE;394292;B;;;;;Gif sur Yvette;
259;Metro;RASPAIL;1238357;4;6;;;;Paris;14
44;Metro;REUILLY-DIDEROT;4580091;1;8;;;;Paris;12
260;Metro;BOISSIERE;1224181;6;;;;;Paris;16
50;Metro;PONT CARDINET;4168538;14;;;;;Paris;17
263;Metro;MABILLON;1195051;10;;;;;Paris;6
53;Metro;MAIRIE DE CLICHY;4043071;13;;;;;Clichy;
267;Metro;SAINT-SEBASTIEN-FROISSART;1151192;8;;;;;Paris;3
55;Metro;MARCADET-POISSONNIERS;3982005;4;12;;;;Paris;18
278;Metro;SEGUR;1100151;10;;;;;Paris;15
56;Metro;PYRAMIDES;3962698;7;14;;;;Paris;1
280;Metro;TRINITE-D'ESTIENNE D'ORVES;1051982;12;;;;;Paris;9
62;Metro;MARCEL SEMBAT;3874792;9;;;;;Boulogne Billancourt;
284;Metro;CITE;1004657;4;;;;;Paris;4
63;Metro;GEORGE V;3842260;1;;;;;Paris;8
290;Metro;VARENNE;782697;13;;;;;Paris;7
66;Metro;GRANDS BOULEVARDS;3737316;8;9;;;;Paris;9
291;Metro;SAINT-GEORGES;751555;12;;;;;Paris;9
67;Metro;CONVENTION;3734750;12;;;;;Paris;15
296;Metro;ASSEMBLEE NATIONALE;611512;12;;;;;Paris;7
72;Metro;VILLIERS;3586376;2;3;;;;Paris;17
302;Metro;BUTTES-CHAUMONT;358301;7bis;;;;;Paris;19
77;Metro;PIGALLE;3501831;2;12;;;;Paris;18
304;Metro;PELLEPORT;229524;3bis;;;;;Paris;20
78;Metro;PORTE DE SAINT-CLOUD;3485946;9;;;;;Paris;16
3;RER;CHATELET-LES HALLES-RER;24100383;A;B;;;;Paris;1
84;Metro;CLICHY SAINT-OUEN;3420852;14;;;;;Saint-ouen;
4;RER;LA DEFENSE-RER;17570475;A;;;;;Puteaux;
85;Metro;ANVERS;3420749;2;;;;;Paris;18
7;RER;MASSY-PALAISEAU;6819340;B;;;;;Massy;
90;Metro;BIR-HAKEIM;3362908;6;;;;;Paris;15
10;RER;NOISY-LE-GRAND-MONT D'EST;5477236;A;;;;;Noisy-le-Grand;
98;Metro;PORTE DES LILAS;3105016;3bis;11;;;;Paris;20
11;RER;CITE UNIVERSITAIRE;5144113;B;;;;;Paris;14
111;Metro;PONT DE LEVALLOIS-BECON;2984777;3;;;;;Levallois-Perret;
20;RER;NATION-RER;3492188;A;;;;;Paris;12
112;Metro;LE KREMLIN-BICETRE;2925325;7;;;;;Kremlin-Bicêtre;
22;RER;BOURG-LA-REINE;3134620;B;;;;;Bourg la Reine;
117;Metro;JULES JOFFRIN;2854819;12;;;;;Paris;18
24;RER;NANTERRE-UNIVERSITE;3069010;A;;;;;Nanterre;
129;Metro;CHATEAU D'EAU;2687103;4;;;;;Paris;10
31;RER;MARNE-LA-VALLEE-CHESSY;2525654;A;;;;;Montevrain;
133;Metro;DENFERT-ROCHEREAU;2543959;4;6;;;;Paris;14
34;RER;LA CROIX DE BERNY;2357629;B;;;;;Antony;
134;Metro;CORENTIN CELTON;2504682;12;;;;;Issy Les Moulineaux;
45;RER;LES BACONNETS;1597521;B;;;;;Antony;
140;Metro;ARTS ET METIERS;2403042;3;11;;;;Paris;3
